id,gestion,estudiante_id,unidad_educativa_id,curso_paralelo_origen,estado
526,2024,526,19,A,A
527,2024,527,19,A,A
528,2024,528,19,A,A
529,2024,529,19,A,A
530,2024,530,19,A,A
531,2024,531,19,A,A
532,2024,532,19,A,A
533,2024,533,19,B,A
534,2024,534,19,A,A
535,2024,535,19,A,A
536,2024,536,19,A,A
537,2024,537,19,C,A
538,2024,538,19,C,A
539,2024,539,19,C,A
540,2024,540,25,A,A
541,2024,541,25,B,A
542,2024,542,25,B,A
543,2024,543,25,A,A
544,2024,544,25,B,A
545,2024,545,25,B,A
546,2024,546,25,B,A
547,2024,547,25,B,A
548,2024,548,25,B,A
549,2024,549,1,B,A
550,2024,550,1,B,A
600,2024,600,10,A,A
601,2024,601,25,A,A
602,2024,602,13,A,A
603,2024,603,13,A,A
604,2024,604,13,A,A
605,2024,605,13,B,A
606,2024,606,13,A,A
607,2024,607,25,B,A
608,2024,608,1,B,A
609,2024,609,25,A,A
610,2024,610,1,A,A
611,2024,611,25,B,A
612,2024,612,13,C,A
613,2024,613,13,A,A
614,2024,614,1,A,A
615,2024,615,25,A,A
616,2024,616,25,A,A
617,2024,617,25,A,A
618,2024,618,29,A,A
620,2024,620,13,B,A
621,2024,621,13,C,A
622,2024,622,29,A,A
623,2024,623,29,A,A
624,2024,624,29,A,A
625,2024,625,29,A,A
626,2024,626,13,A,A
627,2024,627,19,A,A
628,2024,628,19,B,A
629,2024,629,19,B,A
630,2024,630,19,A,A
631,2024,631,19,A,A
632,2024,632,19,A,A
633,2024,633,19,A,A
634,2024,634,19,B,A
635,2024,635,19,A,A
636,2024,636,20,A,A
637,2024,637,20,B,A
638,2024,638,20,A,A
639,2024,639,20,A,A
640,2024,640,21,B,A
641,2024,641,21,B,A
642,2024,642,21,B,A
643,2024,643,21,B,A
644,2024,644,21,B,A
645,2024,645,21,B,A
646,2024,646,21,B,A
647,2024,647,21,A,A
648,2024,648,10,A,A
575,2024,575,10,A,A
576,2024,576,13,C,A
577,2024,577,13,A,A
578,2024,578,13,C,A
579,2024,579,13,C,A
